job_id,job_title,company_name,location,description_text,qualifications,experience_years,salary_formatted,job_type,industry,apply_link
1,Software Engineer,Saudi Aramco,Dhahran,Design and develop scalable backend services for oil & gas digital platforms. Work with distributed systems and cloud infrastructure.,"Python, Java, SQL, REST APIs, Docker, AWS",3-5,15000-22000 SAR,Full-time,Energy,https://careers.aramco.com/job/1
2,Data Scientist,stc,Riyadh,Build ML models to analyze customer behavior and improve telecom services. Collaborate with product and engineering teams.,"Python, Machine Learning, TensorFlow, SQL, Statistics, Pandas",2-4,14000-20000 SAR,Full-time,Telecom,https://careers.stc.com.sa/job/2
3,Frontend Developer,Noon,Riyadh,Develop responsive e-commerce UI components. Maintain and improve customer-facing web application performance.,"React, TypeScript, CSS, HTML, Git, Redux",2-4,12000-18000 SAR,Full-time,E-commerce,https://careers.noon.com/job/3
4,DevOps Engineer,STC Solutions,Riyadh,"Manage CI/CD pipelines, containerized workloads, and cloud infrastructure for enterprise clients.","Kubernetes, Docker, Jenkins, AWS, Terraform, Linux",3-5,16000-24000 SAR,Full-time,IT Services,https://careers.stcsolutions.com.sa/job/4
5,Product Manager,Careem,Riyadh,"Lead product roadmap for mobility features. Work cross-functionally with design, engineering, and business teams.","Product Strategy, Agile, SQL, User Research, Figma, Jira",4-6,18000-28000 SAR,Full-time,Transportation,https://careers.careem.com/job/5
6,Cybersecurity Analyst,Saudi National Bank,Riyadh,"Monitor security events, conduct threat analysis, and implement security controls across banking infrastructure.","SIEM, Network Security, Python, Penetration Testing, ISO 27001",2-4,13000-19000 SAR,Full-time,Banking,https://careers.snb.com.sa/job/6
7,AI Engineer,NEOM,Tabuk,Research and deploy AI solutions for smart city infrastructure including computer vision and NLP applications.,"Python, PyTorch, Computer Vision, NLP, MLOps, Docker",3-5,20000-30000 SAR,Full-time,Smart City,https://careers.neom.com/job/7
8,Business Analyst,PwC Saudi Arabia,Riyadh,Analyze business processes and deliver insights for Vision 2030 transformation projects across government entities.,"SQL, Power BI, Excel, Process Mapping, Stakeholder Management, Tableau",2-4,12000-18000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/8
9,Mobile Developer iOS,Jarir Bookstore,Riyadh,Build and maintain iOS retail application for millions of Saudi users. Optimize app performance and user experience.,"Swift, Xcode, UIKit, REST APIs, Git, Core Data",2-4,13000-20000 SAR,Full-time,Retail,https://careers.jarir.com/job/9
10,Cloud Architect,IBM Saudi Arabia,Riyadh,Design cloud migration strategies and multi-cloud architectures for large enterprise and government clients.,"AWS, Azure, GCP, Terraform, Architecture Design, Security",6-10,25000-38000 SAR,Full-time,IT Services,https://careers.ibm.com/sa/job/10
11,UX Designer,Telfaz11,Riyadh,Create user-centered designs for digital media products. Conduct user research and build interactive prototypes.,"Figma, User Research, Prototyping, Adobe XD, Usability Testing, Design Systems",2-4,10000-16000 SAR,Full-time,Media,https://careers.telfaz11.com/job/11
12,Data Engineer,Saudi Telecom Company,Riyadh,Build and maintain data pipelines and data warehouse solutions to support analytics and reporting initiatives.,"Apache Spark, Python, SQL, Kafka, AWS, dbt",3-5,15000-22000 SAR,Full-time,Telecom,https://careers.stc.com.sa/job/12
13,Full Stack Developer,Foodics,Riyadh,Develop restaurant management SaaS platform features across backend APIs and React-based frontend.,"Node.js, React, PostgreSQL, Docker, REST APIs, TypeScript",2-4,13000-19000 SAR,Full-time,SaaS,https://careers.foodics.com/job/13
14,Machine Learning Engineer,Mozn,Riyadh,Build production-grade ML systems for Arabic NLP and financial analytics. Work on model training and deployment pipelines.,"Python, NLP, Arabic NLP, MLflow, FastAPI, Scikit-learn",3-5,18000-26000 SAR,Full-time,AI/Fintech,https://careers.mozn.sa/job/14
15,IT Project Manager,Saudi Aramco,Dhahran,Lead large-scale IT infrastructure and digital transformation projects using PMP and Agile methodologies.,"PMP, Agile, Scrum, Risk Management, MS Project, Stakeholder Management",5-8,20000-30000 SAR,Full-time,Energy,https://careers.aramco.com/job/15
16,Network Engineer,Mobily,Riyadh,"Design, implement, and maintain telecom network infrastructure. Troubleshoot network issues and ensure high availability.","CCNA, Cisco, BGP, MPLS, Network Security, Linux",2-5,12000-18000 SAR,Full-time,Telecom,https://careers.mobily.com.sa/job/16
17,Blockchain Developer,Saudi Payments,Riyadh,Develop smart contracts and blockchain-based payment solutions supporting Saudi Arabia's digital payment ecosystem.,"Solidity, Ethereum, Web3.js, Python, Smart Contracts, REST APIs",3-5,18000-26000 SAR,Full-time,Fintech,https://careers.saudipayments.com/job/17
18,Digital Marketing Specialist,Salla,Jeddah,Plan and execute digital marketing campaigns for Saudi e-commerce merchants. Analyze performance data and optimize ROI.,"SEO, Google Ads, Meta Ads, Analytics, Content Marketing, SQL",2-4,9000-14000 SAR,Full-time,E-commerce,https://careers.salla.com/job/18
19,Embedded Systems Engineer,Saudi Aramco,Dhahran,Develop firmware and embedded software for industrial IoT sensors and monitoring systems in oil field environments.,"C, C++, RTOS, Embedded Linux, IoT, CAN Bus",3-6,16000-24000 SAR,Full-time,Energy,https://careers.aramco.com/job/19
20,Data Analyst,Al Rajhi Bank,Riyadh,"Analyze banking data to generate insights for risk, operations, and customer behavior. Build dashboards and automated reports.","SQL, Python, Power BI, Excel, Statistics, Tableau",1-3,10000-15000 SAR,Full-time,Banking,https://careers.alrajhibank.com.sa/job/20
21,Backend Developer,Hunger Station,Riyadh,Build high-performance backend services and APIs for Saudi Arabia's leading food delivery platform.,"Python, Django, PostgreSQL, Redis, Docker, AWS",2-4,13000-19000 SAR,Full-time,Food Delivery,https://careers.hungerstation.com/job/21
22,Solution Architect,Accenture Saudi Arabia,Riyadh,Design end-to-end technology solutions for government and enterprise clients under Vision 2030 programs.,"Enterprise Architecture, AWS, Azure, TOGAF, Microservices, API Design",7-12,28000-42000 SAR,Full-time,Consulting,https://careers.accenture.com/sa/job/22
23,Quality Assurance Engineer,Elm,Riyadh,Design and execute manual and automated test plans for government digital services and payment platforms.,"Selenium, Python, API Testing, Postman, JIRA, Test Planning",2-4,10000-16000 SAR,Full-time,GovTech,https://careers.elm.sa/job/23
24,NLP Engineer,Bayanat Analytics,Riyadh,"Develop Arabic NLP models and pipelines for text classification, sentiment analysis, and information extraction.","Python, Arabic NLP, Transformers, HuggingFace, PyTorch, FastAPI",3-5,17000-25000 SAR,Full-time,AI/Analytics,https://careers.bayanat.sa/job/24
25,Systems Administrator,Ministry of Health,Riyadh,"Manage and maintain government IT infrastructure, servers, and enterprise applications ensuring uptime and security compliance.","Linux, Windows Server, Active Directory, VMware, Backup Solutions, ITIL",3-5,11000-17000 SAR,Full-time,Healthcare,https://careers.moh.gov.sa/job/25
26,Software Engineer,Ma'aden,Riyadh,Build and maintain core platform services. Collaborate with cross-functional teams on architecture and implementation.,"REST APIs, SQL, Git, Python, Docker",5-8,20000-30000 SAR,Full-time,Mining,https://careers.maaden.com.sa/job/26
27,Senior Software Engineer,Careem,Riyadh,Lead design and implementation of complex distributed systems. Mentor junior engineers and define engineering standards.,"System Design, CI/CD, Python, AWS",5-8,22000-32000 SAR,Full-time,Transportation,https://careers.careem.com/job/27
28,Data Scientist,Foodics,Abha,Build and deploy ML models to solve business problems. Work with large datasets to extract actionable insights.,"Statistics, Scikit-learn, Python, Machine Learning, SQL, PyTorch, TensorFlow",2-4,14000-20000 SAR,Full-time,SaaS,https://careers.foodics.com/job/28
29,Machine Learning Engineer,Mobily,Riyadh,Build production-grade ML systems and inference pipelines. Bridge research and engineering to deploy models at scale.,"Spark, Python, MLflow, Docker",4-6,20000-30000 SAR,Full-time,Telecom,https://careers.mobily.com.sa/job/29
30,Data Analyst,Alinma Bank,Riyadh,"Monitor KPIs, identify trends, and present findings to leadership. Support data-driven decision making.","Tableau, SQL, Excel, Statistics, Power BI, Python, Google Analytics",1-3,9000-14000 SAR,Full-time,Banking,https://careers.alinma.com/job/30
31,Data Engineer,Jabal Omar,Makkah,Design and maintain scalable data pipelines and ETL workflows. Ensure data quality and availability across the organization.,"AWS, Python, Airflow, Snowflake, Apache Spark",2-4,14000-20000 SAR,Full-time,Real Estate,https://careers.jabalomar.com.sa/job/31
32,Frontend Developer,Microsoft Saudi Arabia,Riyadh,Develop and maintain customer-facing web applications. Collaborate closely with UX designers and backend teams.,"Redux, Webpack, TypeScript, Jest, CSS",3-5,15000-22000 SAR,Full-time,IT Services,https://careers.microsoft.com/sa/job/32
